"Source:","C:\Users\shriy\Documents\GitHub\emshilton-clock\clock\clock.kicad_sch"
"Date:","7/12/2022 1:10:35 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Users\shriy\Desktop\GOOGLE\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Dielectric","Digikey PN","MFG","MPN","Mouser PN","Power","Tolerance","Voltage","automotive","category","device class L1","device class L2","device class L3","digikey description","digikey part number","display type","element config","forward current","forward voltage","height","lead free","library id","luminous intensity","manufacturer","mouser description","mouser part number","package","power dissipation","reverse voltage","rohs","temperature range high","temperature range low","test current"
"17","1","R5","R_0805_22K","HPS:R_0805_22K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0722KL/727736","","311-22.0KCRCT-ND","Yageo","RC0805FR-0722KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","4","R9, R10, R11, R12","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1","R13","R_0805_47","HPS:R_0805_47","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747RL/727972","","RC0805FR-0747RL ","Yageo","RC0805FR-0747RL ","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","5","SW1, SW2, SW3, SW4, SW5","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","1","U1","ATmega328-PU","HPS:ATmega328-PU","footprints:DIP-28_W7.62mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en608326","","ED3050-5-ND","On Shore Technology Inc.","ED281DT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","1","U2","L7805","HPS:L7805","","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","1","U3","MAX7219","HPS:MAX7219","footprints:DIP-24_W7.62mm","https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf","","ED3049-5-ND","On Shore Technology Inc.","ED241DT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","1","U4","DS1307_DIP-8","HPS:DS1307_DIP-8","footprints:DIP-8_W7.62mm","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","","AE9986-ND","Assmann WSW Components","A 08-LC-TT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","1","Y1","16MHz","HPS:Crystal_16MHz","footprints:Crystal_SMD_HC49-SD","https://ecsxtal.com/store/pdf/csm-7x-dn.pdf","","XC1299CT-ND","ECS Inc.","ECS-160-20-5PXDN-TR","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","1","Y2","Crystal_32768Hz","HPS:Crystal_32768Hz","footprints:Crystal_SMD_2Pin_3.2x1.5mm","https://www.jauch.com/downloadfile/57fde22d50dbf_d3c203011c87952f2834/jtx310-auto-2-210512.pdf","","1908-1314-1-ND","Jauch Quartz","Q 0,032768-JTX310-12,5-20-T1-HMR-50K-LF","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
